Item Number,Inventory Receive,Total Item Qty
064-09-9115,13-10-2023,3836
064-09-9129,13-10-2023,1740
064-09-9139,13-10-2023,1436
064-09-9411,13-10-2023,708
064-09-0942,13-10-2023,1400
064-09-1062,29-09-2023,1480
064-09-2179,29-09-2023,920
064-09-0250,29-09-2023,1400
064-09-3154,29-09-2023,480
064-09-3413,29-09-2023,944
064-09-3490,29-09-2023,576
064-09-3600,29-09-2023,524
064-09-3654,29-09-2023,2356
064-09-3787,29-09-2023,4180
064-09-3958,29-09-2023,524
064-09-0041,29-09-2023,1824
064-09-0042,29-09-2023,1400
064-09-4261,29-09-2023,1936
064-09-0043,29-09-2023,1584
064-09-4332,29-09-2023,812
064-09-4450,29-09-2023,1824
064-09-4642,29-09-2023,920
064-09-4784,29-09-2023,888
064-09-5086,29-09-2023,544
064-09-5125,29-09-2023,2204
064-09-5282,29-09-2023,1520
064-09-5287,29-09-2023,2772
064-09-5457,29-09-2023,524
064-09-5503,29-09-2023,576
064-09-5559,29-09-2023,1400
064-09-0059,29-09-2023,1856
064-09-0006,29-09-2023,1664
064-09-6094,29-09-2023,2204
064-09-0631,29-09-2023,1848
064-09-6380,29-09-2023,996
064-09-6933,29-09-2023,576
064-09-7633,29-09-2023,1860
064-09-7924,29-09-2023,3268
064-09-8136,29-09-2023,2204
064-09-8249,29-09-2023,1784
064-09-8353,29-09-2023,920
064-09-8707,29-09-2023,1328
064-09-9076,29-09-2023,3420
064-09-9115,29-09-2023,3836
064-09-9129,29-09-2023,1740
064-09-9139,29-09-2023,1436
064-09-9411,29-09-2023,708
064-09-0942,29-09-2023,1400
064-18-0127,08-09-2023,8100
064-18-3155,08-09-2023,5940
064-01-1346,16-08-2023,1000
064-01-1375,16-08-2023,3400
064-01-1386,16-08-2023,2900
064-01-1411,16-08-2023,9000
064-01-1430,16-08-2023,7000
064-01-1431,16-08-2023,4700
064-01-1443,16-08-2023,900
064-01-1445,16-08-2023,5000
064-01-1446,16-08-2023,6000
064-01-1448,16-08-2023,1200
064-15-5777,16-08-2023,9500
064-09-2641,18-08-2023,2000
064-09-6826,18-08-2023,1800
064-11-1026,08-09-2023,3200
064-11-2793,08-09-2023,1000
064-11-2824,08-09-2023,2900
064-11-0005,08-09-2023,2400
064-11-5125,08-09-2023,3400
064-11-0594,08-09-2023,3000
064-11-0082,08-09-2023,3400
064-11-0996,08-09-2023,1000
064-11-1026,04-08-2023,904
064-11-0151,04-08-2023,776
064-11-2793,04-08-2023,1872
064-11-2824,04-08-2023,568
064-11-4530,04-08-2023,1036
064-11-0005,04-08-2023,1132
064-11-5125,04-08-2023,1680
064-11-0594,04-08-2023,1028
064-11-0082,04-08-2023,1928
064-11-0996,04-08-2023,1408
064-18-2305,28-07-2023,726
064-18-2320,28-07-2023,2676
064-18-2358,28-07-2023,3804
064-18-0267,28-07-2023,942
064-18-2852,28-07-2023,1740
064-18-2853,28-07-2023,822
064-18-2854,28-07-2023,4776
064-18-3665,28-07-2023,1296
064-18-3712,28-07-2023,4860
064-18-3723,28-07-2023,996
064-18-3729,28-07-2023,348
064-18-0493,28-07-2023,1940
064-18-0494,28-07-2023,3204
064-18-5659,28-07-2023,3064
064-18-5660,28-07-2023,3060
064-18-6538,28-07-2023,3192
064-18-6539,28-07-2023,4782
064-18-6577,28-07-2023,2604
064-18-6578,28-07-2023,3546
064-18-8362,28-07-2023,1468
064-18-9089,28-07-2023,1760
064-18-9182,28-07-2023,9336
064-18-9724,28-07-2023,2420
064-18-9938,28-07-2023,3196
064-18-0309,26-11-2023,12424
064-18-4752,26-11-2023,12424
064-09-1062,08-09-2023,1480
064-09-2179,08-09-2023,1224
064-09-0250,08-09-2023,1400
064-09-3154,08-09-2023,480
064-09-3413,08-09-2023,1260
064-09-3490,08-09-2023,768
064-09-3600,08-09-2023,1048
064-09-3654,08-09-2023,2356
064-09-3787,08-09-2023,4180
064-09-3958,08-09-2023,1048
064-09-0041,08-09-2023,1824
064-09-0042,08-09-2023,1400
064-09-4261,08-09-2023,1936
064-09-0043,08-09-2023,1584
064-09-4332,08-09-2023,1084
064-09-4450,08-09-2023,1824
064-09-4642,08-09-2023,1224
064-09-4784,08-09-2023,1184
064-09-5086,08-09-2023,1084
064-09-5125,08-09-2023,2204
064-09-5282,08-09-2023,1520
064-09-5287,08-09-2023,2772
064-09-5457,08-09-2023,1048
064-09-5503,08-09-2023,768
064-09-5559,08-09-2023,1400
064-09-0059,08-09-2023,1856
064-09-0006,08-09-2023,1664
064-09-6094,08-09-2023,2204
064-09-0631,08-09-2023,1848
064-09-6380,08-09-2023,1328
064-09-6933,08-09-2023,768
064-09-7633,08-09-2023,1860
064-09-7924,08-09-2023,3268
064-09-8136,08-09-2023,2204
064-09-8249,08-09-2023,1784
064-09-8353,08-09-2023,1224
064-09-8707,08-09-2023,1328
064-09-9076,08-09-2023,3420
064-09-9115,08-09-2023,3836
064-09-9129,08-09-2023,1740
064-09-9139,08-09-2023,1436
064-09-9411,08-09-2023,944
064-09-0942,08-09-2023,1400
064-15-5738,16-08-2023,9108
064-15-5777,16-08-2023,8644
064-15-6305,16-08-2023,12220
064-15-7068,16-08-2023,12660
064-15-7174,16-08-2023,9500
064-13-0345,09-07-2023,768
064-13-0346,09-07-2023,0
064-13-0358,09-07-2023,1636
064-13-0359,09-07-2023,904
064-13-0438,09-07-2023,1584
064-13-0439,09-07-2023,980
064-09-2641,13-10-2023,3924
064-09-0054,13-10-2023,3004
064-09-6826,13-10-2023,5080
064-09-0733,13-10-2023,2772
064-18-3496,15-09-2023,9940
064-18-4295,15-09-2023,5148
064-11-1026,10-07-2023,1084
064-11-0151,10-07-2023,932
064-11-2793,10-07-2023,2248
064-11-2824,10-07-2023,680
064-11-4530,10-07-2023,1244
064-11-0005,10-07-2023,1360
064-11-5125,10-07-2023,2016
064-11-0594,10-07-2023,1236
064-11-0082,10-07-2023,2312
064-11-0996,10-07-2023,1688
064-09-2641,29-09-2023,3928
064-09-0054,29-09-2023,3004
064-09-6826,29-09-2023,5080
064-09-0733,29-09-2023,2772
064-18-2305,07-07-2023,1134
064-18-2358,07-07-2023,1620
064-18-0267,07-07-2023,1302
064-18-2854,07-07-2023,1404
064-18-3729,07-07-2023,2754
064-18-0493,07-07-2023,1600
064-18-0494,07-07-2023,1600
064-18-6538,07-07-2023,888
064-18-6539,07-07-2023,834
064-18-9089,07-07-2023,1600
064-18-9724,07-07-2023,1600
064-11-1026,13-10-2023,900
064-11-2793,13-10-2023,1200
064-11-2824,13-10-2023,1400
064-11-4530,13-10-2023,1200
064-11-0005,13-10-2023,1000
064-11-0082,13-10-2023,1800
064-18-4153,22-09-2023,4500
064-09-3654,07-07-2023,1176
064-09-3787,07-07-2023,2088
064-09-5287,07-07-2023,1388
064-09-7924,07-07-2023,1632
064-09-9076,07-07-2023,1708
064-09-9115,07-07-2023,1920
